#0:leg (1 to 6),#1:part (1=shoulder; 2=arm; 3=claw),#2:hat,#3:channel,#4:lower limit pwm,#5:upper limit pwm,#6:offset,#7:lower limit physical,#8:upper limit physical
1,1,1,0,575,2625,2,20,160
1,2,1,8,600,2655,-5,0,180
1,3,0,0,565,2715,4,0,180
2,1,1,1,570,2620,1,20,160
2,2,1,9,540,2525,-5,0,180
2,3,0,1,650,2710,2,0,180
3,1,1,2,590,2620,-6,20,160
3,2,1,10,585,2645,3,0,180
3,3,0,2,550,2605,-3,0,180
4,1,1,3,825,2515,11,20,160
4,2,1,11,685,2635,0,0,180
4,3,0,3,695,2405,0,0,180
5,1,1,4,595,2610,-1,20,160
5,2,1,12,540,2500,7,0,180
5,3,0,4,570,2575,-5,0,180
6,1,1,5,545,2635,0,20,160
6,2,1,13,590,2595,-1,0,180
6,3,1,14,540,2400,6,0,180
